,amazon_title,amazon_author,amazon_rating,amazon_reviews count,amazon_isbn-10,amazon_price
6906,The Sun is also a Star,by Nicola Yoon,4.5,73.0,0552574244,319.0
6907,Giraffes Can't Dance,by Giles Andreae,4.7,49.0,0545392551,495.0
6909,Turtles All the Way Down,by John Green,4.2,256.0,0241335434,373.0
6910,You Belong to Me (Cardinia's Royal Family Book 2),by Johanna Lindsey,5.0,3.0,B0058DQNDM,199.0
6911,The Secret - The Power,by Rhonda Byrne,4.7,211.0,0857201700,599.0
6912,Harry Potter and the Prisoner of Azkaban (Harry Potter 3),by J.K. Rowling,4.4,474.0,1408855674,374.0
6913,"Home Sweet Home"":: Teach Your Kids About the Importance of Home! (Bedtimes Story...""",by Sigal Adler,3.3,3.0,B076J5YHFN,72.0
6914,Everything I Never Told You,by Celeste Ng,4.3,48.0,0349134286,379.0
6915,His Christmas Bride (The Marietta St Claire's  Book 3),by Lara Van Hulzen,4.5,119.0,B0752WN31P,209.0
6916,Children of Blood and Bone (Legacy of Orisha),by Tomi Adeyemi,4.4,50.0,1509871357,334.0
6917,Hate To Love: We're Married,by Ganga Bharani Vasudevan,4.1,10.0,B07L5JSBXT,75.0
6918,Honey & the moon,by Kamini Kusum,3.9,14.0,9387390543,62.0
6919,George's Marvellous Medicine (Dahl Fiction),by Roald Dahl,4.5,76.0,0141365501,223.0
6920,NINA The Friendly Vampire - Book 4 - Families: Books for Kids aged 9-12,by Katrina Kahler,4.0,4.0,B07F65G4MF,237.0
6921,"It's So Amazing!: A Book about Eggs, Sperm, Birth, Babies, and Families (The...",by Robie H. Harris,3.5,2.0,0763668745,912.0
6923,P. V. Narasimha Rao vs the Nehru-Gandhi Family,by Sanjaya Baru,3.8,20.0,B01MSOV1M3,10.0
6924,"It's So Amazing!: A Book about Eggs, Sperm, Birth, Babies, and Families (The...",by Robie H. Harris,3.5,2.0,0763668745,912.0
6925,Unmasking Lady Helen: The Kinsey Family (The Kinsey Family Series Book 1),by Maggi Andersen,4.3,23.0,B074FF4BCN,211.0
6927,Family Album,by Danielle Steel,4.0,1.0,0751540706,259.0
6928,Capturing You (Maple Grove Romance Book 1),by Katana Collins,4.3,38.0,B00QVJBYXQ,278.0
6929,How to Talk So Kids Will Listen and Listen So Kids Will Talk,by Adele Faber,4.7,86.0,1848126328,255.0
6930,Family Law in India I (இந்திய குடும்ப சட்டம் I),by Advocate P.R.Jayarajan M.L. M.B.A. P.G.D.A.D.R.,5.0,1.0,8193101537,320.0
6931,His to Marry: Her Billionaire Boss (Heathcliff Family Romances Book 2),by Julia Keanini,4.5,14.0,B07GZ8JL4N,280.0
6932,Dork Diaries Frenemies Forever,by Rachel Renee Russell,4.6,70.0,1471158039,182.0
6933,Tell Tale,by Jeffrey Archer,4.4,133.0,1509867767,269.0
6934,No Choice (The James Family Book 1),by C.M. Steele,3.9,56.0,B00YQLN5LU,225.0
6935,Ayurvediya Garbh Sanskar (Marathi),by Shree Balaji Tambe,4.5,408.0,9380571089,601.0
6936,Excuse Me!: a Little Book of Manners (Lift-The-Flap Book),by Karen Katz,4.2,5.0,0448425858,259.0
6937,Dragonwings: Golden Mountain Chronicles: 1903,by Laurence Yep - Import,4.2,117.0,0064400859,247.0
6938,The Detox Diet,by Shonali Sabherwal,4.2,35.0,8184007833,179.0
6940,Thirteen Reasons Why (TV Tie-in),by Jay Asher,4.3,423.0,0141387777,236.0
6941,How your Personality Makes or Breaks your Child - A Self Assessment Guide for...,by Dr. Chayanika Singh,4.3,22.0,8178063344,166.0
6942,His to Save: Her Secret Billionaire (Heathcliff Family Romances Book 1),by Julia Keanini,4.4,20.0,B07GZ42FVG,286.0
6943,Hardy Boys 01: The Tower Treasure (The Hardy Boys),by Franklin W. Dixon,4.3,26.0,0448089017,225.0
6944,"The Bodyguard: King Family, Book Two",by S. Doyle,4.2,36.0,B07FB1B8Q2,292.0
6945,We Should All Be Feminists,by Chimamanda Ngozi Adichie - Import,4.3,72.0,0008115273,141.0
6946,"Ready, Study, Go!: Smart Ways to Learn",by Khurshed Batliwala,4.5,444.0,9352641345,178.0
6947,Beti Ki Sacchhi Saheli Maa: Psychological Guidance and Physical Support a Daughter...,by Sheela Saluja,2.0,1.0,9381448701,97.0
6949,All the Bright Places,by Jennifer Niven,4.7,223.0,0141357037,248.0
6950,Family Lexicon (New York Review Books Classics),by Natalia Ginzburg,4.5,5.0,1590178386,614.0
6951,Lectures on Family Law I (Hindu Law),by Dr. Rega Surya Rao,5.0,1.0,9386698269,330.0
6952,Meet My Family – Read It Yourself with Ladybird Level 1,by LADYBIRD - Import,5.0,2.0,0241275210,99.0
6953,Your Captivating Love (The Bennett Family Book 2),by Layla Hagen,4.0,2.0,B01AL6WWEY,256.0
6954,Ghachar Ghochar,by Vivek Shanbhag,4.3,111.0,9352642376,263.0
6955,Charlie and the Great Glass Elevator (Dahl Fiction),by Roald Dahl,4.5,54.0,0141365382,298.0
6956,Unexpectedly Mine (Birch Crossing Book 1),by Stephanie Rowe,4.5,4.0,B00AB05RRU,1.0
6957,Light From Many Lamps,by Watson,4.6,204.0,0671652508,404.0
6958,Harry Potter and the Order of the Phoenix (Harry Potter 5),by J.K. Rowling,4.5,304.0,1408855690,599.0
6960,The Great Indian Diet,by Shilpa Shetty Kundra,4.0,380.0,8184007485,161.0
6961,Sway (Landry Family Series Book 1),by Adriana Locke,4.0,1.0,B01FPOYXUI,255.0
6963,"Always and Forever, Lara Jean (To All the Boys Trilogy 3)",by Jenny Han,4.6,6.0,1407177664,365.0
6964,Are You My Mother? (Bright & Early Board Books(TM)),by P.D. Eastman,4.3,24.0,0679890475,313.0
6965,Your Captivating Love (The Bennett Family Book 2),by Layla Hagen,4.0,2.0,B01AL6WWEY,256.0
6966,P.S. I Love You,by Cecelia Ahern,4.4,176.0,0007270100,217.0
6967,Prankenstein: The Book of Crazy Mischief,by Ruskin Bond and Jerry Pinto,5.0,3.0,938716425X,275.0
6968,Ants among Elephants: An Untouchable Family and the Making of Modern India,by Sujatha Gidla - Import,4.2,5.0,9353025036,359.0
6969,My Planes Activity and Sticker Book,by Samantha Meredith - Import,5.0,1.0,1408895196,193.0
6970,Unexpectedly Mine (Birch Crossing Book 1),by Stephanie Rowe,4.5,4.0,B00AB05RRU,1.0
6971,Bridge to Terabithia (A Puffin Book),by Katherine Paterson,4.4,17.0,0141359781,255.0
6973,Think and Grow Rich,by Napoleon Hill,4.6,3615.0,935266373X,127.0
6975,Stories for Kids Who Dare to Be Different,by Ben Brooks,5.0,1.0,1787476529,775.0
6976,Sway (Landry Family Series Book 1),by Adriana Locke,4.0,1.0,B01FPOYXUI,255.0
6977,Still Me,by Jojo Moyes,3.8,12.0,0718183193,410.0
6979,The President is Missing,by President Bill Clinton - Import,3.1,19.0,1780898401,327.0
6980,Something Lovely (Bishop Family Book 9),by Brooke St. James,4.8,105.0,B07B3LDZ63,64.0
6981,What I Know for Sure,by Oprah Winfrey,4.5,57.0,144727766X,436.0
6982,Peppa Pig: My Mummy,by Ladybird,4.6,29.0,1409312151,185.0
6984,How Will You Measure your Life?,by Clayton Christensen,4.5,69.0,0007490542,350.0
6985,A Quiet Night In (Large Family),by Jill Murphy,4.7,17.0,1844285278,184.0
6986,The Doctor Gene: What Everyone Must Know about Doctors,by Dr Rajas Deshpande,4.6,21.0,1482871068,450.0
6987,The Tycoon's Christmas Captive (The Casacelli Family Saga Book 3),by Clare Connelly,5.0,1.0,B00O94086O,194.0
6988,One-Minute Super Dad: 99 Magic Moments to Raise Amazing Children,by Dr Prashant Jindal,4.6,44.0,9352774531,157.0
6989,"Riddles: For Kids & Family (Riddles For Kids, Books For Kids)",by Pelican Puzzles,3.4,6.0,B077YBR5Q1,192.0
6990,The ABC Murders (Poirot),by Agatha Christie,4.4,252.0,0007527535,186.0
6991,25 Read and Write Mini-Books That Teach Word Families: Fun and Interactive Rhyming...,by Nancy I Sanders,3.0,2.0,0439155878,793.0
6992,My Heart to Touch (A Maxwell Family Saga Book 1),by S.B. Alexander,4.6,70.0,B07L3BRTBS,69.0
6993,Between Parent and Child: Revised and Updated: The Bestselling Classic That Revolutionized...,by Dr. Haim G. Ginott,4.6,61.0,0609809881,315.0
6994,Encyclopedia of Animals A Family Reference Guide (Family Encyclopedia of Animals),by Parragon Books,4.5,2.0,1445484692,485.0
6995,The CEO's Seduction (A Hamilton Family Series Book 1),by Diane Alberts,3.9,48.0,B01N0GRCAU,152.0
6996,Anne of Green Gables (Puffin Classics),by L.M. Montgomery,4.5,63.0,0141321598,255.0
6997,Imagine: No Child Left Invisible,by Shelja Sen,4.8,9.0,9352773268,300.0
6998,The Berenstain Bears and the Ghost of the Forest (First Time Books(R)),by Stan Berenstain,5.0,1.0,0394805658,129.0
7001,Why Men Don't Listen and Women Can't Read Maps,by Allan Pease,4.4,25.0,8186775080,248.0
7002,Five Little Pigs (Poirot) (Hercule Poirot Series Book 24),by Agatha Christie,4.5,100.0,B0046RE5BS,126.0
7003,The Runaway Bunny Board Book,by Margaret Wise Brown,4.7,8.0,0061074292,472.0
7004,The Last Heiress (The Champagne Dynasty Family Saga Book 3),by Tessa Barclay,5.0,1.0,B01D4MW9ZE,295.0
7005,The Binding,by Bridget Collins,4.3,4.0,0008272115,539.0
7006," BEAUTY AND THE WITCH "": Teach your Kids kindness (Bedtime story children's...""",by Sigal Adler,5.0,2.0,B076TSNRMT,64.0
7007,Reflections of a Man,by Amari Soul,4.5,163.0,0986164704,807.0
7008,Come Friday (Bishop Family Book 8),by Brooke St. James,4.9,63.0,B0798FFX7X,63.0
7009,Beartown,by Fredrik Backman,4.7,20.0,0718189760,298.0
7010,Family Law-I,by Dr. Ashok K. Jain,,,B07D4HPQKM,250.0
7011,Kittu's Very Mad Day (Children First),by Harshikaa Udasi,4.6,11.0,9383331836,149.0
7013,Malala: My Story of Standing Up for Girls' Rights,by Malala Yousafzai - Import,5.0,1.0,1526361590,193.0
7015,Bridge of Clay,by Markus Zusak,3.9,4.0,0857525956,559.0
7016,The Womanly Art of Breastfeeding: Completely Revised and Updated 8th Edition...,by La Leche League International,5.0,4.0,0345518446,600.0
7017,THE SNAIL WHO FORGOT THE MAIL (Bedtime stories children's picture books Book 1),by sigal adler,4.7,8.0,B00EVDUR1Y,76.0
7018,"Option B: Facing Adversity, Building Resilience and Finding Joy",by Sheryl Sandberg,4.3,52.0,0753548283,332.0
7019,Fantastic Mr Fox (Dahl Fiction),by Roald Dahl,4.7,58.0,0141365447,284.0
7020,I Can Use My Potty Sticker Reward Book (Bloomsbury Activity Book),by Bloomsbury Activity Books,,,1408879069,193.0
7021,Best Kept Secret (The Clifton Chronicles series Book 3),by Jeffrey Archer,4.0,120.0,B00AKFG15S,52.0
7022,Roots,by Alex Haley,4.2,25.0,0099362813,448.0
7024,A Wrinkle in Time (A Puffin Book),by Madeleine L'Engle,4.4,38.0,0141354933,223.0
7026,The Carve the Mark Duology Boxed Set,by Veronica Roth,4.5,2.0,0008313520,600.0
7027,The Night Circus (Vintage Magic),by Erin Morgenstern,4.2,63.0,0099570297,374.0
7028,Carve the Mark,by Veronica Roth,4.1,33.0,0008242763,367.0
7030,Slumbering: An Epic Fantasy Adventure Series (The Starlight Chronicles Book 1),by C. S. Johnson,3.9,52.0,B00RM6325U,265.0
7031,Geronimo Stilton and the Kingdom of Fantasy #11: The Guardian of the Realm,by Geronimo Stilton,4.9,51.0,9352755162,380.0
7032,Metamorphosis,by Franz Kafka,4.2,198.0,8172345135,69.0
7033,"The Sanctuary Series, Books 1-3: Defender, Avenger and Champion",by Robert J. Crane,5.0,2.0,B00YJCJGEG,449.0
7034,The Power of Your Subconscious Mind: Unlock Your Master Key to Success,by Joseph Murphy,4.5,5009.0,8172345666,75.0
7035,The Ship of Secrets (Geronimo Stilton and the Kingdom of Fantasy #10),by Geronimo Stilton,4.8,151.0,9386313774,374.0
7036,The Dragon of Fortune (Geronimo Stilton and the Kingdom of Fantasy: Special Edition...,by Geronimo Stilton,4.6,285.0,9352751183,510.0
7037,Geronimo Stilton and the Kingdom of Fantasy #8 - The Hour of Magic,by Geronimo Stilton,4.6,329.0,9385887815,274.0
7039,Geronimo Stilton - The Kingdom of Fantasy,by Geronimo Stilton,4.5,230.0,0545980259,382.0
7040,Dharmayoddha Kalki: Avatar of Vishnu (Book 1),by Kevin Missal,4.2,226.0,8193503309,179.0
7041,Children of Blood and Bone (Legacy of Orisha),by Tomi Adeyemi,4.4,50.0,1509871357,334.0
7043,Geronimo Stilton and the Kingdom of Fantasy: Special Edition: The Phoenix of...,by Geronimo Stilton,4.7,464.0,935103951X,558.0
7044,The Fates Divide: Carve the Mark - Book 2,by Veronica Roth,4.0,14.0,0008306699,238.0
7045,The Name of the Wind (The Kingkiller Chronicle),by Patrick Rothfuss,4.4,91.0,0575081406,473.0
7047,Geronimo Stilton the Kingdom of Fantasy #09 The Wizards Wand,by Geronimo Stilton,4.5,200.0,938610623X,348.0
7048,"The Dragon Blood Collection, Books 1-3",by Lindsay Buroker,4.3,6.0,B00PXGD274,99.0
7049,Kingdom of Fantasy #6: The Search for Treasure (Geronimo Stilton - Kingdom of...,by Geronimo Stilton,4.6,162.0,9351033147,350.0
7050,Geronimo Stilton - The Quest for Paradise,by Geronimo Stilton,4.6,329.0,0545253071,480.0
7052,The Dragon Prophecy: The Fourth Adventure in the Kingdom of Fantasy (Geronimo...,by Geronimo Stilton,4.5,85.0,0545393515,384.0
7053,The Stolen Kingdom: A Fantasy Book for All Ages,by Ross Rosenfeld,4.6,26.0,B005TWBVRU,449.0
7054,Geronimo Stilton and the Kingdom of Fantasy #7: The Enchanted Charms,by Geronimo Stilton - Illustrated,4.7,182.0,9351035492,373.0
7057,Geronimo Stilton - The Amazing Voyage: The Third Adventure in the Kingdom of...,by Geronimo Stilton,4.6,118.0,0545307716,392.0
7058,The Immortals of Meluha (Shiva Trilogy),by Amish,4.6,2643.0,9380658745,251.0
7061,INKREDIA Luwan of Brida,by Sarang Mahajan,4.3,118.0,8193365801,158.0
7063,The Haunted Castle: 46 (Geronimo Stilton),by Geronimo Stilton,4.5,131.0,0545103746,167.0
7064,The Volcano of Fire: 5 Geronimo Stilton,by Geronimo Stilton,4.5,127.0,0545556252,392.0
7065,Magnus Chase and the Ship of the Dead (Book 3),by Rick Riordan,4.6,87.0,0141342595,389.0
7066,A Monster Calls,by Patrick Ness,4.5,47.0,1406361801,295.0
7067,Forbidden Forest (The Legends of Regia Book 1),by Tenaya Jayne,5.0,1.0,B009JVTLA6,73.0
7068,Geronimo Stilton Se: The Journey through Time,by Geronimo Stilton,4.6,195.0,9351031934,371.0
7069,The Last Magician,by Lisa Maxwell,4.3,5.0,1481432079,450.0
7073,"The Dragon Seller - A Sci-Fi/Fantasy Novel: (Dragons of the Future Series, Sci-fi...",by F.G. Ferrario,4.6,118.0,B074BWYVF5,192.0
7074,Fantastic Beasts: The Crimes of Grindelwald: The Original Screenplay (Fantastic...,by J.K. Rowling,4.8,52.0,1408711702,434.0
7075,"Twilight: Twilight, Book 1 (Twilight Saga)",by Stephenie Meyer,4.4,178.0,1904233651,458.0
7076,Beyond the Eyes: YA Paranormal Romance Novel (Book 1),by Rebekkah Ford,3.5,2.0,B0088JF7HQ,196.0
7082,The Mortal Instruments 1: City of Bones,by Cassandra Clare,4.2,77.0,1406362166,413.0
7083,The Loneliest Girl in the Universe,by Lauren James,4.0,2.0,1406375470,399.0
7084,"Power of Five: Reverse Harem Fantasy, Book 1",by Alex Lidell,4.6,535.0,B07B6HZ5N7,348.0
7085,Circe: The Sunday Times Bestseller,by Madeline Miller,4.3,47.0,1526603330,364.0
7086,GIRL POWER - Book 1: Girl to the Rescue! - Books for Girls 9 - 12,by Katrina Kahler,3.5,2.0,B075LSMJFG,149.0
7088,Library of Souls: The Third Novel of Miss Peregrine's Peculiar Children,by Ransom Riggs,3.7,11.0,1594749310,418.0
7089,Dragon's Gift Complete Series: An Urban Fantasy Boxed Set,by Linsey Hall,4.6,3.0,B071JKS1B2,699.0
7090,Queen of Air and Darkness (The Dark Artifices),by Cassandra Clare,4.1,11.0,1471116700,524.0
7091,A Game of Thrones (A Song of Ice and Fire),by George R.R. Martin,4.5,440.0,0007428545,538.0
7092,The Rise of Sivagami: Book 1 of Baahubali - Before the Beginning,by Anand Neelakantan,4.1,793.0,9386224445,162.0
7093,Dune,by Frank Herbert,4.2,44.0,0441172717,340.0
7094,The Secret Of The Nagas (Shiva Trilogy-2),by Amish Tripathi - Abridged,4.6,1680.0,9381626340,244.0
7097,The Hunger Games,by Suzanne Collins,4.5,245.0,0439023521,770.0
7098,Ever After High - A Spelltacular Year,by Edda USA Editorial Team,3.0,2.0,194078753X,30.0
7099,The Haunted Dinosaur (Creepella Von Cacklefur #9),by Geronimo Stilton,4.4,28.0,9386313804,266.0
7100,Heroes of Olympus: The Lost Hero,by Rick Riordan,4.7,150.0,0141325496,231.0
7102,Lost Treasure of the Emerald Eye: 01 Geronimo Stilton,by Geronimo Stilton,4.4,61.0,0439559634,194.0
7105,The Magicians: (Book 1),by Lev Grossman,3.7,6.0,0099534444,449.0
7106,The Star-Touched Queen,by Roshani Chokshi,4.0,7.0,1250085470,646.0
7107,The Tales of Beedle the Bard,by J.K. Rowling,4.5,128.0,1408883090,374.0
7109,Geronimo Stilton Journey Through Time 3,by Geronimo Stilton - Import,4.7,87.0,9351037703,392.0
7110,Thea Stilton: The Journey to Atlantis (Geronimo Stilton: Thea Stilton),by Geronimo Stilton,4.5,169.0,0545440203,345.0
7112,Quidditch Through the Ages (Hogwarts Library book Book 2),by J.K. Rowling,4.5,71.0,B01F3ET2SS,199.0
7113,The Priory of the Orange Tree,by Samantha Shannon,,,1526612860,524.0
7114,Matilda (Dahl Fiction),by Roald Dahl,4.7,212.0,0141365463,211.0
7115,The Lunar Chronicles - Cinder,by Marissa Meyer - International Edition,4.1,59.0,0141340134,319.0
7117,The Hidden Oracle (The Trials of Apollo Book 1),by Rick Riordan,4.6,209.0,0141363924,298.0
7119,Thea Stilton Mouseford Academy #13: Sea Turtle Rescue,by Geronimo Stilton,4.9,12.0,9352751582,186.0
7120,Cat and Mouse in a Haunted House: 03 Geronimo Stilton,by Geronimo Stilton,4.6,49.0,0439559650,186.0
7121,Fantastic Beasts and Where to Find Them (Hogwarts Library book Book 1),by J.K. Rowling,4.3,126.0,B01LZY70SV,199.0
7123,The Karate Mouse: 40 (Geronimo Stilton),by Geronimo Stilton,4.4,86.0,054510369X,251.0
7124,"The Percy Jackson and the Olympians, Book Five: Last Olympian (Percy Jackson...",by Rick Riordan,4.7,137.0,1423101472,432.0
7126,"The Fork, the Witch, and the Worm: Tales from Alagaësia, Eragon - Vol. 1 (The...",by Christopher Paolini,3.1,9.0,0241392365,419.0
7127,"What Maya Saw: A Tale of Shadows, Secrets, Clues",by Shabnam Minwalla,5.0,1.0,9352774698,176.0
7128,"The Hobbit, Or, There and Back Again",by J. R. R. Tolkien,4.5,313.0,054792822X,390.0
7129,Knightfall: A Reverse Harem Fantasy (Tangled Crowns Book 1),by Ann Denton,4.5,82.0,B07MQ3MKL7,199.0
7130,Geronimo Stilton SE: The Hunt for the Curious Cheese,by Geronimo Stilton,4.5,79.0,9351037339,327.0
7132,Red Queen: 0,by Victoria Aveyard,4.1,87.0,1409150720,359.0
7133,The Boy with a Broken Heart,by Durjoy Datta - Import,4.6,423.0,0143426583,149.0
7135,Sambhaji,by SANJIVANI KHER,3.0,8.0,B071S3KN4X,55.0
7136,The Way of the Samurai: 49 (Geronimo Stilton),by Geronimo Stilton,4.7,47.0,0545341019,184.0
7137,The Silmarillion,by J.R.R. Tolkien,4.3,39.0,0261102737,311.0
7143,The Winter of the Witch: The Winternight Trilogy,by Katherine Arden,4.5,2.0,1785039717,539.0
7148,The Phantom of the Subway: 13 (Geronimo Stilton),by Geronimo Stilton,4.4,30.0,0439661625,210.0
7151,The Giant Diamond Robbery: 44 (Geronimo Stilton),by Geronimo Stilton,4.4,106.0,0545103762,225.0
7152,Deadpool Vol. 1: Secret Invasion,by Daniel Way,4.4,20.0,B00AAJQYPG,308.0
7153,Great Stories for Children,by Ruskin Bond,4.4,217.0,8129118920,182.0
7154,"Ram - Scion of Ikshvaku: An Epic adventure story book on the Ramayana, The Tale...",by Amish Tripathi,4.1,4651.0,B00W1YF1IY,228.0
7155,Geekerella: A Fangirl Fairy Tale (Once Upon A Con),by Ashley Poston,4.4,19.0,1594749477,640.0
7156,A Wizard of Earthsea (A Puffin Book),by Ursula K. Le Guin,4.0,2.0,0141354917,239.0
7157,The Path of Man: An Epic Fantasy Adventure (The Soul Stone Trilogy Book 1),by Matt Moss,4.5,35.0,B01M2AEPIC,342.0
7158,The Land of Flowers: A Geronimo Stilton Adventure (Thea Stilton: Special Edition...,by Geronimo Stilton,4.7,93.0,9352751191,376.0
7159,Barbie Pop Star The Magical Story,by Parragon,5.0,1.0,1474844480,280.0
7161,Ferryman,by Claire McFall,5.0,1.0,9387004112,299.0
7162,Dragonia: Rise of the Wyverns: An Epic Fantasy Dragon Novel (Dragonia Empire...,by Craig A. Price Jr.,4.4,65.0,B07DH6K38N,49.0
7163,"Get Into Gear, Stilton!: 54 (Geronimo Stilton)",by Geronimo Stilton,4.5,96.0,0545481945,251.0
7164,The Curse of the Cheese Pyramid: 2: 02 (Geronimo Stilton),by Geronimo Stilton,4.4,49.0,0439559642,184.0
7167,Books For Kids: The Misadventures of Mischievous Missy (KIDS ADVENTURE BOOKS...,by Felicia Harper,2.9,8.0,B00PWY5XY2,238.0
7168,This Hotel is Haunted!: 50 (Geronimo Stilton),by Geronimo Stilton,4.5,97.0,0545341027,167.0
7169,Son of Bhrigu (The Pataala Prophecy),by Christopher C. Doyle,4.2,220.0,9386850478,297.0
7172,BloodLust: A Vivid Reverse Harem Epic Fantasy (Rise Of The Iliri Book 1),by Auryn Hadley,4.7,332.0,B01CPQZSPS,299.0
7173,Kashi: Secret of the Black Temple (Harappa),by Vineet Bajpai,4.6,209.0,8193642449,194.0
7174,The Greenest Valley: A Fantasy Adventure Book for All Ages,by Ross Rosenfeld,4.8,9.0,B00JRHG28G,260.0
7175,The Stalker,by Sandeep Sharma,4.2,39.0,9387390624,49.0
7176,புரிதல் புதிரானதோ !: Purithal Puthiranatho! (Tamil Edition),by Rosei Kajan,,,B07L8GFCVT,49.0
7177,The Jungle Book (First Stories),by Miriam Bos,4.4,71.0,1509808361,224.0
7179,"Game of Thrones: 2 Book Bundle (Epic Fantasy Series, Game of Thrones Books, Game...",by Television Fan Club Members,4.3,10.0,B00O5CFO6Y,449.0
7181,"His Dark Materials: Gift Edition including all three novels: Northern Light,...",by Philip Pullman,4.4,37.0,1841593427,570.0
7182,1984 (DELUXE EDITION),by George Orwell,4.4,742.0,8193545834,281.0
7185,"Hug a Tree, Geronimo (Geronimo Stilton #69)",by Geronimo Stilton,3.9,12.0,9352755154,190.0
7186,Fantastic Beasts and Where to Find Them : The Original Screenplay (Written in...,by J.K. Rowling,4.4,181.0,1408708981,525.0
7188,The Geronimo Stilton Spacemice #6: The Underwater Planet,by Geronimo Stilton,4.0,23.0,054587243X,260.0
7189,Romantic Country: The Third Tale: A Fantasy Coloring Book,by Eriy,4.6,89.0,1250133831,544.0
7190,Disney Movie Collection: Tinker Bell and the Pirate Fairy: A Special Disney Storybook...,by Parragon Books Ltd - Illustrated,,,1472381866,379.0
7192,The Magic of the Lost Temple,by Sudha Murty,4.6,268.0,014333316X,179.0
7193,Beren and Lúthien,by J.R.R. Tolkien,4.4,28.0,0008214190,450.0
7194,"Mistake of Magic: Reverse Harem Fantasy, Book 2 (Power of Five)",by Alex Lidell,5.0,1.0,B07CHVT57G,366.0
7195,Magonia,by Maria Dahvana Headley - Import,3.7,6.0,006232053X,239.0
7196,Books For Kids: Little Sandy and the Magical Forest (KIDS ADVENTURE BOOKS #1)...,by Felicia Harper,5.0,1.0,B00PX4DRGW,238.0
7197,"Black Leopard, Red Wolf: Dark Star Trilogy Book 1",by Marlon James - Import,,,0241315581,524.0
7198,A Court of Frost and Starlight (A Court of Thorns and Roses),by Sarah J. Maas,3.7,30.0,1526603888,199.0
7200,Harry Potter Aur Paras Patthar,by J.K. Rowling,4.7,115.0,8186775609,102.0
7201,The Blue Umbrella,by Ruskin Bond,4.4,350.0,8171673406,95.0
7202,The Wimpy Kid: Do-it-Yourself Book (Diary of a Wimpy Kid),by Jeff Kinney,4.6,332.0,0141339667,173.0
7203,Thea Stilton and the Mountain of Fire: 2: 02 (Geronimo Stilton),by Thea Stilton,4.1,14.0,0545150604,237.0
7204,Fallen: Book 1 of the Fallen Series,by Lauren Kate,3.9,31.0,0552561738,229.0
7205,"Mortal: An Eastern, Dark & Epic Fantasy (Book 1 of The Seven Realms Series)",by Mrdojo,5.0,1.0,B07L97WR76,212.0
7207,The Dragon's Blade Trilogy: A Complete Epic Fantasy Series,by Michael R. Miller,5.0,3.0,B07GYVQQBX,99.0
7208,Killing Commendatore,by Haruki Murakami - Import,3.7,17.0,1787300196,500.0
7209,Konark,by Nimmy Chacko,4.4,25.0,B06WGV4ZFY,32.0
7210,The Oath of the Vayuputras (Shiva Trilogy),by Amish Tripathi,4.4,1608.0,9382618341,282.0
7211,Six of Crows: Crooked Kingdom: Book 2,by Leigh Bardugo - Import,4.4,31.0,1780622317,499.0
7212,Alice the Vampire Slayer: An Urban Fantasy Fairy Tale (Wonderland Guardian Academy...,by Pauline Creeden,5.0,6.0,B07FVM5VCD,219.0
7214,Nursery Rhymes Board Book (My First Book Series): Illustrated Classic Nursery...,by Wonder House Books Editorial,4.4,9.0,9388144201,169.0
7216,Read It Yourself Little Red Hen Level 1 (mini Hc),by Ladybird,4.5,45.0,0723272700,73.0
7218,The Very Hungry Caterpillar,by Eric Carle,4.5,675.0,0241003008,255.0
7222,Brida,by Paulo Coelho,4.3,104.0,0007278594,218.0
7223,The Dark Prophecy (The Trials of Apollo Book 2),by Rick Riordan,4.6,101.0,0141363975,599.0
7225,Diary of a Wimpy Kid,by Jeff Kinney,4.6,547.0,0141324902,209.0
7226,Dragonwings: Golden Mountain Chronicles: 1903,by Laurence Yep - Import,4.2,117.0,0064400859,247.0
7227,Arabian Nights (Illustrated),by Maple Press,5.0,2.0,B01LBBQGB8,86.0
7230,Fire and Blood: A History of the Targaryen Kings from Aegon the Conqueror to...,by George R.R. Martin,4.2,24.0,0008312737,623.0
7231,Upheaval: A Reverse Harem Epic Fantasy (Rise Of The Iliri Book 8),by Auryn Hadley,4.9,217.0,B07HJ2GJT3,99.0
7232,The Mummy with No Name: 26 (Geronimo Stilton),by Geronimo Stilton,4.6,46.0,0439841178,210.0
7234,Diary of a Wimpy Kid: Rodrick Rules,by Jeff Kinney,4.6,293.0,0141324910,156.0
7235,Harappa - Curse of the Blood River,by Vineet Bajpai,4.1,680.0,B073QY7PYQ,99.0
7237,"Books For Kids: The King’s Wrath (KIDS FANTASY BOOKS #6) (Books For Kids, Kids...",by Felicia Harper,5.0,2.0,B00PMWXFHQ,238.0
7243,The Hidden Children: The Lost Grimoire,by Reshma K. Barshikar,4.6,28.0,9353216206,242.0
7244,The Sage's Secret (The Kalki Chronicles),by Abhinav,4.0,14.0,0143442368,255.0
7245,51 Lesser Known Tales from The Mahabharata,by Sharath Komarraju,3.8,33.0,B017IUC2LO,99.0
7246,Seven Wonders Book 5: The Legend of the Rift,by Peter Lerangis,5.0,1.0,0062070533,235.0
7248,The Enormous Crocodile (Dahl Fiction),by Roald Dahl,4.4,56.0,014136551X,185.0
7252,Kids Book: Holly Horse and the Great Quest: Girls & Boys Good Bedtime Stories...,by Kids Book Author Jenny Loveless,3.0,1.0,B00DZG3VSY,312.0
